id,city,player_of_match,motm_team,non_motm_team,team1,team2,toss_winner,toss_decision,winner,eliminator,batting_team,bowling_team,year
734013,Ranchi,AB de Villiers,RCB,CSK,CSK,RCB,CSK,bat,RCB,N,RCB,CSK,2014
734029,Ranchi,DA Warner,SRH,CSK,CSK,SRH,SRH,field,SRH,N,SRH,CSK,2014
829821,Ranchi,A Nehra,CSK,RCB,CSK,RCB,CSK,field,CSK,N,RCB,CSK,2015
1216495,Sharjah,S Nadeem,SRH,MI,MI,SRH,SRH,field,SRH,N,MI,SRH,2020
1216496,Sharjah,SV Samson,RR,CSK,RR,CSK,CSK,field,RR,N,RR,CSK,2020
1216500,Sharjah,R Ashwin,DC,RR,DC,RR,RR,field,DC,N,DC,RR,2020
1216502,Sharjah,Sandeep Sharma,SRH,RCB,RCB,SRH,SRH,field,SRH,N,RCB,SRH,2020
1216509,Sharjah,S Dhawan,DC,CSK,CSK,DC,CSK,bat,DC,N,DC,CSK,2020
1216515,Sharjah,SS Iyer,DC,KKR,DC,KKR,KKR,field,DC,N,DC,KKR,2020
1216520,Sharjah,CH Gayle,KXIP,KKR,KKR,KXIP,KXIP,field,KXIP,N,KXIP,KKR,2020
1216521,Sharjah,TA Boult,MI,CSK,CSK,MI,MI,field,MI,N,CSK,MI,2020
1216527,Sharjah,SV Samson,RR,KXIP,KXIP,RR,RR,field,RR,N,RR,KXIP,2020
1216531,Sharjah,KL Rahul,KXIP,RCB,RCB,KXIP,RCB,bat,KXIP,N,KXIP,RCB,2020
1216538,Sharjah,TA Boult,MI,SRH,MI,SRH,MI,bat,MI,N,SRH,MI,2020
1216540,Sharjah,AB de Villiers,RCB,KKR,RCB,KKR,RCB,bat,RCB,N,RCB,KKR,2020
548311,Visakhapatnam,RA Jadeja,CSK,SRH,SRH,CSK,SRH,field,CSK,N,CSK,SRH,2012
548314,Visakhapatnam,RG Sharma,MI,SRH,SRH,MI,SRH,bat,MI,N,MI,SRH,2012
829727,Visakhapatnam,AM Rahane,RR,SRH,SRH,RR,RR,field,RR,N,RR,SRH,2015
829731,Visakhapatnam,JP Duminy,DD,SRH,SRH,DC,DC,bat,DC,N,DD,SRH,2015
829743,Visakhapatnam,DA Warner,SRH,KKR,SRH,KKR,KKR,field,SRH,N,SRH,KKR,2015
980973,Visakhapatnam,A Nehra,SRH,MI,MI,SRH,MI,field,SRH,N,MI,SRH,2016
980979,Visakhapatnam,A Zampa,Pune,Pune,Pune,SRH,SRH,bat,SRH,N,SRH,Pune,2016
980985,Visakhapatnam,MP Stoinis,KXIP,MI,MI,KXIP,MI,bat,KXIP,N,MI,KXIP,2016
980993,Visakhapatnam,KH Pandya,MI,DC,MI,DC,DC,field,MI,N,MI,DD,2016
980997,Visakhapatnam,AB Dinda,Pune,Pune,Pune,DC,Pune,field,Pune,N,DD,Pune,2016
981005,Visakhapatnam,MS Dhoni,Pune,Pune,Pune,KXIP,KXIP,bat,Pune,N,Pune,KXIP,2016
1181766,Visakhapatnam,RR Pant,DC,SRH,DC,SRH,DC,field,DC,N,DC,SRH,2019
1181767,Visakhapatnam,F du Plessis,CSK,DC,CSK,DC,CSK,field,CSK,N,CSK,DC,2019
